GeneSymbol,PriorityScore,Interactome,SrcPred,SrcKnown,pYXXP,FynKnown,Enriched,CrkIntAct,AblPred,AblKnown,Rank
LPP,3,no,no,no,yes,no,no,no,no,no,708
TDRD3,3,no,no,no,yes,no,no,no,no,no,709
PTK6,3,no,no,no,yes,no,no,no,no,no,710
PREP,3,no,no,no,yes,no,no,no,no,no,711
DOCK11,3,no,no,no,yes,no,no,no,no,no,712
R3HCC1L,3,no,no,no,yes,no,no,no,no,no,713
TAGLN,3,no,no,no,yes,no,no,no,no,no,714
ISCU,3,no,no,no,yes,no,no,no,no,no,715
MAP3K3,3,no,no,no,yes,no,no,no,no,no,716
APLP2,3,no,no,no,yes,no,no,no,no,no,717
LPXN,3,no,no,no,yes,no,no,no,no,no,718
LDLR,3,no,no,no,yes,no,no,no,no,no,719
MUC1,3,no,no,no,yes,no,no,no,no,no,720
PTPN22,3,no,no,no,yes,no,no,no,no,no,721
ALKBH3,3,no,no,no,yes,no,no,no,no,no,722
APIP,3,no,no,no,yes,no,no,no,no,no,723
PGM1,3,no,no,no,yes,no,no,no,no,no,724
C9orf78,3,no,no,no,yes,no,no,no,no,no,725
KRT7,3,no,no,no,yes,no,no,no,no,no,726
ACSM1,3,no,no,no,yes,no,no,no,no,no,727
NIFK,3,no,no,no,yes,no,no,no,no,no,728
TANC2,3,no,no,no,yes,no,no,no,no,no,729
GPA33,3,no,no,no,yes,no,no,no,no,no,730
LTV1,3,no,no,no,yes,no,no,no,no,no,731
HELZ,3,no,no,no,yes,no,no,no,no,no,732
LCP1,3,no,no,no,yes,no,no,no,no,no,733
ATP2A2,3,no,no,no,yes,no,no,no,no,no,734
ACSM2A,3,no,no,no,yes,no,no,no,no,no,735
CRYGB,3,no,no,no,no,no,yes,no,no,no,736
ATP6V0E1,3,no,no,no,no,no,yes,no,no,no,737
SOX15,3,no,no,no,no,no,yes,no,no,no,738
CXCL12,3,no,no,no,no,no,yes,no,no,no,739
CRYAB,3,no,no,no,no,no,yes,no,no,no,740
C18orf32,3,no,no,no,no,no,yes,no,no,no,741
PRELID2,3,no,no,no,no,no,yes,no,no,no,742
GM2A,3,no,no,no,no,no,yes,no,no,no,743
CSN3,3,no,no,no,no,no,yes,no,no,no,744
ARL6IP1,3,no,no,no,no,no,yes,no,no,no,745
VOPP1,3,no,no,no,no,no,yes,no,no,no,746
HHEX,3,no,no,no,no,no,yes,no,no,no,747
IGF1,3,no,no,no,no,no,yes,no,no,no,748
ELAVL2,3,no,no,no,no,no,yes,no,no,no,749
RBM38,3,no,no,no,no,no,yes,no,no,no,750
HOXB6,3,no,no,no,no,no,yes,no,no,no,751
C2orf70,3,no,no,no,no,no,yes,no,no,no,752
POU2AF1,3,no,no,no,no,no,yes,no,no,no,753
COX4I2,3,no,no,no,no,no,yes,no,no,no,754
LITAF,3,no,no,no,no,no,yes,no,no,no,755
ELAVL4,3,no,no,no,no,no,yes,no,no,no,756
SPARC,3,no,no,no,no,no,yes,no,no,no,757
C5orf49,3,no,no,no,no,no,yes,no,no,no,758
CRX,3,no,no,no,no,no,yes,no,no,no,759
PEMT,3,no,no,no,no,no,yes,no,no,no,760
CRYGC,3,no,no,no,no,no,yes,no,no,no,761
TRANK1,3,no,no,no,no,no,yes,no,no,no,762
RNF152,3,no,no,no,no,no,yes,no,no,no,763
BGLAP,3,no,no,no,no,no,yes,no,no,no,764
COX8A,3,no,no,no,no,no,yes,no,no,no,765
EGR2,3,no,no,no,no,no,yes,no,no,no,766
MRPS18C,3,no,no,no,no,no,yes,no,no,no,767
SPINK8,3,no,no,no,no,no,yes,no,no,no,768
MTX2,3,no,no,no,no,no,yes,no,no,no,769
PAX9,3,no,no,no,no,no,yes,no,no,no,770
GPX2,3,no,no,no,no,no,yes,no,no,no,771
C17orf58,3,no,no,no,no,no,yes,no,no,no,772
DAZ2,3,no,no,no,no,no,yes,no,no,no,773
NEU2,3,no,no,no,no,no,yes,no,no,no,774
SYNGR2,3,no,no,no,no,no,yes,no,no,no,775
MPPED2,3,no,no,no,no,no,yes,no,no,no,776
B3GAT2,3,no,no,no,no,no,yes,no,no,no,777
HOXB3,3,no,no,no,no,no,yes,no,no,no,778
NDUFB9,3,no,no,no,no,no,yes,no,no,no,779
FSHB,3,no,no,no,no,no,yes,no,no,no,780
TANGO2,3,no,no,no,no,no,yes,no,no,no,781
NKX6-2,3,no,no,no,no,no,yes,no,no,no,782
CRYGA,3,no,no,no,no,no,yes,no,no,no,783
LECT2,3,no,no,no,no,no,yes,no,no,no,784
VPS29,3,no,no,no,no,no,yes,no,no,no,785
DPT,3,no,no,no,no,no,yes,no,no,no,786
LYRM1,3,no,no,no,no,no,yes,no,no,no,787
SPINK2,3,no,no,no,no,no,yes,no,no,no,788
TEPP,3,no,no,no,no,no,yes,no,no,no,789
MRPS21,3,no,no,no,no,no,yes,no,no,no,790
FOSL1,3,no,no,no,no,no,yes,no,no,no,791
SHISA5,3,no,no,no,no,no,yes,no,no,no,792
CXCL8,3,no,no,no,no,no,yes,no,no,no,793
SPANXD,3,no,no,no,no,no,yes,no,no,no,794
GAGE12J,3,no,no,no,no,no,yes,no,no,no,795
DPM2,3,no,no,no,no,no,yes,no,no,no,796
CRISPLD2,3,no,no,no,no,no,yes,no,no,no,797
PAQR5,3,no,no,no,no,no,yes,no,no,no,798
CCL22,3,no,no,no,no,no,yes,no,no,no,799
MYCBP,3,no,no,no,no,no,yes,no,no,no,800
TMBIM1,3,no,no,no,no,no,yes,no,no,no,801
DAZ1,3,no,no,no,no,no,yes,no,no,no,802
DAZ3,3,no,no,no,no,no,yes,no,no,no,803
ASCL3,3,no,no,no,no,no,yes,no,no,no,804
RNF166,3,no,no,no,no,no,yes,no,no,no,805
ENTPD7,3,no,no,no,no,no,yes,no,no,no,806
SMIM20,3,no,no,no,no,no,yes,no,no,no,807
TREM1,3,no,no,no,no,no,yes,no,no,no,808
WBP2NL,3,no,no,no,no,no,yes,no,no,no,809
ZNF785,3,no,no,no,no,no,yes,no,no,no,810
SPINK14,3,no,no,no,no,no,yes,no,no,no,811
SS18,3,no,no,no,no,no,yes,no,no,no,812
C9orf24,3,no,no,no,no,no,yes,no,no,no,813
LCE6A,3,no,no,no,no,no,yes,no,no,no,814
TMEM240,3,no,no,no,no,no,yes,no,no,no,815
TMEM174,3,no,no,no,no,no,yes,no,no,no,816
MSC,3,no,no,no,no,no,yes,no,no,no,817
MPLKIP,3,no,no,no,no,no,yes,no,no,no,818
RBMY1A1,3,no,no,no,no,no,yes,no,no,no,819
C4orf45,3,no,no,no,no,no,yes,no,no,no,820
DEFB130,3,no,no,no,no,no,yes,no,no,no,821
DPH3P1,3,no,no,no,no,no,yes,no,no,no,822
DPH3,3,no,no,no,no,no,yes,no,no,no,823
SPRR2G,3,no,no,no,no,no,yes,no,no,no,824
CCL14,3,no,no,no,no,no,yes,no,no,no,825
CST4,3,no,no,no,no,no,yes,no,no,no,826
LGALS14,3,no,no,no,no,no,yes,no,no,no,827
GAGE12H,3,no,no,no,no,no,yes,no,no,no,828
SMIM12,3,no,no,no,no,no,yes,no,no,no,829
HSPB3,3,no,no,no,no,no,yes,no,no,no,830
CST1,3,no,no,no,no,no,yes,no,no,no,831
APOO,3,no,no,no,no,no,yes,no,no,no,832
KRTAP3-1,3,no,no,no,no,no,yes,no,no,no,833
COX6A2,3,no,no,no,no,no,yes,no,no,no,834
MPV17,3,no,no,no,no,no,yes,no,no,no,835
RBMY1B,3,no,no,no,no,no,yes,no,no,no,836
RBMY1D,3,no,no,no,no,no,yes,no,no,no,837
DEXI,3,no,no,no,no,no,yes,no,no,no,838
KRTAP6-1,3,no,no,no,no,no,yes,no,no,no,839
LEUTX,3,no,no,no,no,no,yes,no,no,no,840
DEFB135,3,no,no,no,no,no,yes,no,no,no,841
GAGE12I,3,no,no,no,no,no,yes,no,no,no,842
RBMY1E,3,no,no,no,no,no,yes,no,no,no,843
GAGE12G,3,no,no,no,no,no,yes,no,no,no,844
XAGE1E,3,no,no,no,no,no,yes,no,no,no,845
TM6SF1,3,no,no,no,no,no,yes,no,no,no,846
CRYGS,3,no,no,no,no,no,yes,no,no,no,847
SGPP2,3,no,no,no,no,no,yes,no,no,no,848
NPS,3,no,no,no,no,no,yes,no,no,no,849
METTL4,3,no,no,no,no,no,yes,no,no,no,850
ODF3L2,3,no,no,no,no,no,yes,no,no,no,851
RBMY1F,3,no,no,no,no,no,yes,no,no,no,852
DUSP13,3,no,no,no,no,no,yes,no,no,no,853
GTF3C5,3,no,no,no,no,no,yes,no,no,no,854
MRPL50,3,no,no,no,no,no,yes,no,no,no,855
CDIP1,3,no,no,no,no,no,yes,no,no,no,856
ZNF689,3,no,no,no,no,no,yes,no,no,no,857
PRR13,3,no,no,no,no,no,yes,no,no,no,858
TMEM258,3,no,no,no,no,no,yes,no,no,no,859
DEFB113,3,no,no,no,no,no,yes,no,no,no,860
ZDHHC3,3,no,no,no,no,no,yes,no,no,no,861
COLCA2,3,no,no,no,no,no,yes,no,no,no,862
KRTAP8-1,3,no,no,no,no,no,yes,no,no,no,863
HSPB2,3,no,no,no,no,no,yes,no,no,no,864
HIGD1C,3,no,no,no,no,no,yes,no,no,no,865
SPINT4,3,no,no,no,no,no,yes,no,no,no,866
KRTAP12-3,3,no,no,no,no,no,yes,no,no,no,867
SUMO4,3,no,no,no,no,no,yes,no,no,no,868
ATP8,3,no,no,no,no,no,yes,no,no,no,869
NDUFA3,3,no,no,no,no,no,yes,no,no,no,870
KRTAP20-1,3,no,no,no,no,no,yes,no,no,no,871
KRTAP19-4,3,no,no,no,no,no,yes,no,no,no,872
CYSTM1,3,no,no,no,no,no,yes,no,no,no,873
TMEM257,3,no,no,no,no,no,yes,no,no,no,874
C10orf111,3,no,no,no,no,no,yes,no,no,no,875
FAM168A,3,no,no,no,no,no,yes,no,no,no,876
C4orf3,3,no,no,no,no,no,yes,no,no,no,877
ATP5L2,3,no,no,no,no,no,yes,no,no,no,878
LOXL1,3,no,no,no,no,no,yes,no,no,no,879
C12orf73,3,no,no,no,no,no,yes,no,no,no,880
FDCSP,3,no,no,no,no,no,yes,no,no,no,881
MORN2,3,no,no,no,no,no,yes,no,no,no,882
CLPS,3,no,no,no,no,no,yes,no,no,no,883
NDUFB5,3,no,no,no,no,no,yes,no,no,no,884
DPCD,3,no,no,no,no,no,yes,no,no,no,885
MARVELD1,3,no,no,no,no,no,yes,no,no,no,886
C1orf194,3,no,no,no,no,no,yes,no,no,no,887
CDKN1B,2,no,no,yes,no,no,no,no,no,yes,888
SNCA,2,no,no,yes,no,yes,no,no,no,no,889
CHN2,2,no,no,yes,no,yes,no,no,no,no,890
AATK,2,no,no,yes,no,yes,no,no,no,no,891
UBASH3B,1.5,no,no,no,no,no,no,yes,yes,no,892
EYA3,1.5,no,no,no,no,no,no,yes,yes,no,893
JUNB,1.5,no,no,no,no,no,no,no,yes,yes,894
GTF2I,1.5,no,no,yes,no,no,no,no,yes,no,895
SHANK2,1.5,no,no,no,no,no,no,yes,yes,no,896
DCP1A,1.5,no,no,no,no,no,no,yes,yes,no,897
RAPH1,1.5,no,no,no,no,no,no,no,yes,yes,898
CD93,1.5,no,no,no,no,no,no,yes,yes,no,899
ARHGEF5,1.5,no,no,no,no,no,no,yes,yes,no,900
VPS37C,1.5,no,no,no,no,no,no,yes,yes,no,901
CEBPE,1.5,no,no,no,no,no,no,yes,yes,no,902
CD19,1.5,no,no,no,no,no,no,no,yes,yes,903
FMOD,1,no,yes,no,no,no,no,no,yes,no,904
DTX1,1,no,no,no,no,no,no,yes,no,no,905
EXTL3,1,no,no,no,no,no,no,yes,no,no,906
GABBR1,1,no,no,no,no,no,no,yes,no,no,907
PHC2,1,no,no,no,no,no,no,yes,no,no,908
IGF1R,1,no,no,no,no,no,no,yes,no,no,909
VCAM1,1,no,no,no,no,no,no,yes,no,no,910
LCOR,1,no,no,no,no,no,no,yes,no,no,911
NOTCH2,1,no,no,no,no,no,no,yes,no,no,912
KIDINS220,1,no,no,no,no,no,no,yes,no,no,913
EPB41L3,1,no,no,no,no,no,no,yes,no,no,914
KCTD13,1,no,no,no,no,no,no,yes,no,no,915
F2RL2,1,no,no,no,no,no,no,yes,no,no,916
MPDZ,1,no,no,no,no,no,no,yes,no,no,917
DOCK3,1,no,no,no,no,no,no,yes,no,no,918
TDG,1,no,no,no,no,no,no,yes,no,no,919
AGO1,1,no,no,no,no,no,no,yes,no,no,920
CELSR2,1,no,no,no,no,no,no,yes,no,no,921
6-Sep,1,no,no,no,no,no,no,yes,no,no,922
ABI1,1,no,no,no,no,no,no,yes,no,no,923
ISL1,1,no,no,no,no,no,no,yes,no,no,924
PCDHA7,1,no,no,no,no,no,no,yes,no,no,925
SPEN,1,no,no,no,no,no,no,yes,no,no,926
ESD,1,no,no,no,no,no,no,yes,no,no,927
AKAP6,1,no,no,no,no,no,no,yes,no,no,928
RGS7,1,no,no,no,no,no,no,yes,no,no,929
LAMA5,1,no,no,no,no,no,no,yes,no,no,930
TP53BP2,1,no,no,no,no,no,no,yes,no,no,931
ABAT,1,no,no,no,no,no,no,yes,no,no,932
JUN,1,no,no,no,no,no,no,yes,no,no,933
SNX3,1,no,no,no,no,no,no,yes,no,no,934
SNW1,1,no,no,no,no,no,no,yes,no,no,935
BUB1,1,no,no,no,no,no,no,yes,no,no,936
FASLG,1,no,no,no,no,no,no,yes,no,no,937
UBASH3A,1,no,no,no,no,no,no,yes,no,no,938
PRRC2B,1,no,no,no,no,no,no,yes,no,no,939
EDC3,1,no,no,no,no,no,no,yes,no,no,940
FER,1,no,no,no,no,no,no,yes,no,no,941
PNRC1,1,no,no,no,no,no,no,yes,no,no,942
PAX7,1,no,no,no,no,no,no,yes,no,no,943
KIAA0430,1,no,no,no,no,no,no,yes,no,no,944
CBLC,1,no,no,no,no,no,no,yes,no,no,945
KCNMA1,1,no,no,no,no,no,no,yes,no,no,946
MDM2,1,no,no,no,no,no,no,no,no,yes,947
FOXA1,1,no,no,no,no,no,no,no,no,yes,948
DDX5,1,no,no,no,no,no,no,no,no,yes,949
BMPR1A,1,no,no,no,no,no,no,no,no,yes,950
NFAT5,1,no,no,no,no,no,no,no,no,yes,951
ESR1,1,no,no,no,no,no,no,no,no,yes,952
GPX1,1,no,no,no,no,no,no,no,no,yes,953
RBM39,1,no,no,no,no,no,no,no,no,yes,954
ATR,1,no,no,no,no,no,no,no,no,yes,955
YAP1,1,no,no,no,no,no,no,no,no,yes,956
HIPK2,1,no,no,no,no,no,no,no,no,yes,957
MYLK,1,no,no,no,no,no,no,no,no,yes,958
TP63,1,no,no,no,no,no,no,no,no,yes,959
ZC3H4,1,no,no,yes,no,no,no,no,no,no,960
NDFIP2,1,no,no,yes,no,no,no,no,no,no,961
KHDRBS3,1,no,no,yes,no,no,no,no,no,no,962
DAG1,1,no,no,yes,no,no,no,no,no,no,963
AKAP8,1,no,no,yes,no,no,no,no,no,no,964
AGTR1,1,no,no,yes,no,no,no,no,no,no,965
AKT1,1,no,no,yes,no,no,no,no,no,no,966
PDIA2,1,no,no,no,no,no,no,yes,no,no,967
PRAG1,1,no,no,no,no,no,no,yes,no,no,968
LNX2,1,no,no,no,no,no,no,yes,no,no,969
MBIP,1,no,no,no,no,no,no,yes,no,no,970
MPG,1,no,no,no,no,no,no,yes,no,no,971
YY1,1,no,no,no,no,no,no,yes,no,no,972
GAREM1,1,no,no,no,no,no,no,yes,no,no,973
PCDHA1,1,no,no,no,no,no,no,yes,no,no,974
PPFIBP2,1,no,no,no,no,no,no,yes,no,no,975
KAT6A,1,no,no,no,no,no,no,yes,no,no,976
ASAP2,1,no,no,no,no,no,no,yes,no,no,977
DLGAP1,1,no,no,no,no,no,no,yes,no,no,978
DLGAP2,1,no,no,no,no,no,no,yes,no,no,979
SOCS6,1,no,no,no,no,no,no,yes,no,no,980
MAP4K1,1,no,no,no,no,no,no,yes,no,no,981
RYBP,1,no,no,no,no,no,no,yes,no,no,982
DDX6,1,no,no,no,no,no,no,yes,no,no,983
KMT2B,1,no,no,no,no,no,no,yes,no,no,984
GABARAPL1,1,no,no,no,no,no,no,yes,no,no,985
APOB,1,no,no,no,no,no,no,yes,no,no,986
PCDHA5,1,no,no,no,no,no,no,yes,no,no,987
PCDHA6,1,no,no,no,no,no,no,yes,no,no,988
PCDHA2,1,no,no,no,no,no,no,yes,no,no,989
IFT140,1,no,no,no,no,no,no,yes,no,no,990
PTPN1,1,no,no,no,no,no,no,yes,no,no,991
KLF15,1,no,no,no,no,no,no,yes,no,no,992
GRIP2,1,no,no,no,no,no,no,yes,no,no,993
CSMD2,1,no,no,no,no,no,no,yes,no,no,994
ATXN1,1,no,no,no,no,no,no,yes,no,no,995
ISG20L2,1,no,no,no,no,no,no,yes,no,no,996
FASTK,1,no,no,no,no,no,no,yes,no,no,997
WASF2,1,no,no,no,no,no,no,no,no,yes,998
RAD51,1,no,no,no,no,no,no,no,no,yes,999
MYOD1,1,no,no,no,no,no,no,no,no,yes,1000
WWTR1,1,no,no,no,no,no,no,no,no,yes,1001
TP73,1,no,no,no,no,no,no,no,no,yes,1002
CLCN3,1,no,no,yes,no,no,no,no,no,no,1003
MAPK8IP3,1,no,no,yes,no,no,no,no,no,no,1004
SH3PXD2A,1,no,no,yes,no,no,no,no,no,no,1005
CDC25A,1,no,no,yes,no,no,no,no,no,no,1006
KCNB1,1,no,no,yes,no,no,no,no,no,no,1007
APBA1,1,no,no,yes,no,no,no,no,no,no,1008
AFF2,1,no,no,no,no,no,no,yes,no,no,1009
CAST,1,no,no,no,no,no,no,yes,no,no,1010
PCDHA8,1,no,no,no,no,no,no,yes,no,no,1011
NINL,1,no,no,no,no,no,no,yes,no,no,1012
TERF2IP,1,no,no,no,no,no,no,yes,no,no,1013
PCDHA9,1,no,no,no,no,no,no,yes,no,no,1014
CLNK,1,no,no,no,no,no,no,yes,no,no,1015
DLGAP3,1,no,no,no,no,no,no,yes,no,no,1016
SAXO1,1,no,no,no,no,no,no,yes,no,no,1017
KCTD17,1,no,no,no,no,no,no,yes,no,no,1018
DLX4,1,no,no,no,no,no,no,yes,no,no,1019
DOCK5,1,no,no,no,no,no,no,yes,no,no,1020
TCAP,1,no,no,no,no,no,no,yes,no,no,1021
ASAP3,1,no,no,no,no,no,no,yes,no,no,1022
STAT4,1,no,no,no,no,no,no,yes,no,no,1023
DOK7,1,no,no,no,no,no,no,yes,no,no,1024
CEP128,1,no,no,no,no,no,no,yes,no,no,1025
DOK3,1,no,no,no,no,no,no,yes,no,no,1026
ASAP1,1,no,no,no,no,no,no,yes,no,no,1027
MRPL48,1,no,no,no,no,no,no,yes,no,no,1028
TELO2,1,no,no,no,no,no,no,yes,no,no,1029
MEGF6,1,no,no,no,no,no,no,yes,no,no,1030
MAPK4,1,no,no,no,no,no,no,yes,no,no,1031
AOX1,1,no,no,no,no,no,no,yes,no,no,1032
WAC,1,no,no,no,no,no,no,yes,no,no,1033
SOCS1,1,no,no,no,no,no,no,yes,no,no,1034
RIN3,1,no,no,no,no,no,no,yes,no,no,1035
BRD4,1,no,no,no,no,no,no,yes,no,no,1036
ZNF557,1,no,no,no,no,no,no,yes,no,no,1037
THOC2,1,no,no,no,no,no,no,yes,no,no,1038
USP53,1,no,no,no,no,no,no,yes,no,no,1039
NUFIP2,1,no,no,no,no,no,no,yes,no,no,1040
GLTSCR1,1,no,no,no,no,no,no,yes,no,no,1041
USP7,1,no,no,no,no,no,no,yes,no,no,1042
TNS2,1,no,no,no,no,no,no,yes,no,no,1043
ZHX2,1,no,no,no,no,no,no,yes,no,no,1044
RAG1,1,no,no,no,no,no,no,yes,no,no,1045
TPX2,1,no,no,no,no,no,no,yes,no,no,1046
CCP110,1,no,no,no,no,no,no,yes,no,no,1047
DDX41,1,no,no,no,no,no,no,yes,no,no,1048
TM4SF19,1,no,no,no,no,no,no,yes,no,no,1049
AREL1,1,no,no,no,no,no,no,yes,no,no,1050
MNDA,1,no,no,no,no,no,no,yes,no,no,1051
INSR,1,no,no,no,no,no,no,yes,no,no,1052
LIG3,1,no,no,no,no,no,no,yes,no,no,1053
MYOZ2,1,no,no,no,no,no,no,yes,no,no,1054
HSH2D,1,no,no,no,no,no,no,yes,no,no,1055
BEX5,1,no,no,no,no,no,no,yes,no,no,1056
CORO6,1,no,no,no,no,no,no,yes,no,no,1057
STX17,1,no,no,no,no,no,no,no,no,yes,1058
RAD9A,1,no,no,no,no,no,no,no,no,yes,1059
DDB1,1,no,no,no,no,no,no,no,no,yes,1060
CEBPB,1,no,no,no,no,no,no,no,no,yes,1061
ARHGDIA,1,no,no,yes,no,no,no,no,no,no,1062
IKBKB,1,no,no,yes,no,no,no,no,no,no,1063
