Rank,Score
1,11.5
2,11
3,10.5
4,10.5
5,10
6,9.5
7,9
8,8.5
9,8.5
10,8.5
11,8
12,8
13,8
14,8
15,7.5
16,7.5
17,7.5
18,7.5
19,7.5
20,7.5
21,7.5
22,7.5
23,7
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,7
41,6.5
42,6.5
43,6.5
44,6.5
45,6.5
46,6.5
47,6.5
48,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,5.5
104,5
105,5
106,5
107,5
108,5
109,5
110,4.5
111,4.5
112,4.5
113,4.5
114,4.5
115,4.5
116,4.5
117,4.5
118,4.5
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
,4
25,4
26,4
27,4
4836,4
1198,4
7264,4
118,4
939,4
7731,4
1622,4
1001,4
1885,4
6502,4
3671,4
2700,4
4346,4
2711,4
2021,4
,4
193,4
1790,4
2578,4
488,4
6687,4
1683,4
3115,4
3207,4
1293,4
4339,4
5048,4
7089,4
5964,4
973,4
6274,4
1388,4
7924,4
2239,4
467,4
4212,4
4444,4
7521,4
2921,4
1218,3.5
4298,3.5
2899,3.5
4088,3.5
3135,3.5
3401,3.5
3761,3.5
2803,3.5
5276,3.5
7868,3.5
304,3.5
4202,3.5
1723,3.5
1762,3.5
3040,3.5
6968,3.5
,3.5
400,3.5
7934,3.5
5133,3.5
5860,3.5
4079,3.5
339,3.5
2801,3.5
,3.5
7030,3.5
7724,3.5
1619,3.5
2347,3.5
1860,3.5
5796,3.5
6716,3.5
2898,3.5
5605,3.5
2,3.5
4635,3.5
5769,3.5
5146,3.5
21,3.5
2827,3.5
3677,3.5
2256,3.5
,3.5
865,3.5
1228,3.5
2848,3.5
8488,3.5
1931,3.5
7088,3.5
7885,3.5
1611,3.5
5705,3.5
7840,3.5
,3.5
1480,3.5
7408,3.5
3510,3.5
4608,3.5
468,3.5
3575,3.5
7029,3.5
2429,3.5
4947,3.5
,3.5
6129,3.5
1253,3.5
2385,3
5763,3
2386,3
,3
,3
3127,3
1918,3
1915,3
4952,3
7366,3
83,3
1773,3
2856,3
4456,3
2658,3
4436,3
6980,3
8136,3
1148,3
3743,3
3283,3
3822,3
4983,3
984,3
5892,3
6976,3
7147,3
8530,3
3419,3
7536,3
2989,3
3048,3
5272,3
5985,3
7234,3
8342,3
2540,3
3701,3
4751,3
7978,3
2807,3
2892,3
4889,3
8681,3
8823,3
1278,3
2398,3
3348,3
3548,3
5351,3
3431,3
4741,3
7867,3
8110,3
129,3
3911,3
995,3
1156,3
6445,3
6708,3
1521,3
1523,3
1688,3
4510,3
2424,3
2844,3
2040,3
2381,3
2412,3
3001,3
,3
1807,3
4902,3
210,3
1155,3
2013,3
5768,3
6943,3
7390,3
1888,3
4864,3
5056,3
7484,3
1216,3
1982,3
146,3
1044,3
8029,3
8526,3
2849,3
8312,3
252,3
1174,3
4651,3
6747,3
2979,3
3839,3
3964,3
5389,3
902,3
2778,3
7405,3
1821,3
6016,3
717,3
7740,3
8194,3
8801,3
,3
2351,3
5997,3
7017,3
8617,3
2725,3
5238,3
5928,3
6012,3
6089,3
7520,3
8532,3
2370,3
3700,3
4461,3
8337,3
790,3
2074,3
5201,3
7161,3
7962,3
,3
854,3
906,3
2076,3
2806,3
3834,3
6479,3
7464,3
,3
1714,3
1720,3
4974,3
5186,3
7223,3
7817,3
8463,3
,3
598,3
1107,3
3028,3
4032,3
4948,3
5811,3
873,3
960,3
1257,3
1717,3
1801,3
1948,3
3830,3
3863,3
5488,3
5759,3
8270,3
,3
74,3
309,3
424,3
1199,3
2620,3
4269,3
5191,3
5905,3
5915,3
5941,3
6547,3
6552,3
6661,3
7173,3
8474,3
2058,3
4978,3
5943,3
6880,3
8313,3
,3
723,3
1522,3
2524,3
3704,3
6423,3
7227,3
8623,3
341,3
759,3
1117,3
1428,3
1554,3
2321,3
6021,3
6145,3
6924,3
,3
1201,3
1758,3
2080,3
3112,3
3986,3
6343,3
8511,3
8637,3
8687,3
225,3
2839,3
3926,3
5156,3
7145,3
7986,3
5,3
356,3
1533,3
1997,3
3707,3
6076,3
6243,3
6957,3
1041,3
2749,3
2818,3
2991,3
4303,3
4611,3
7121,3
7501,3
8416,3
,3
509,3
587,3
1557,3
1636,3
4452,3
4857,3
5088,3
6166,3
6507,3
6568,3
7244,3
7271,3
7281,3
7800,3
7952,3
241,3
669,3
1514,3
1582,3
1757,3
2212,3
2995,3
3869,3
4161,3
4803,3
4861,3
6660,3
6756,3
6850,3
101,3
526,3
555,3
1538,3
1823,3
3310,3
4216,3
4435,3
4627,3
4763,3
8273,3
,3
80,3
543,3
1190,3
1479,3
1899,3
4949,3
7140,3
8317,3
1089,3
1709,3
3237,3
3402,3
5111,3
5160,3
5291,3
5341,3
5614,3
5828,3
5913,3
6713,3
6824,3
7105,3
7773,3
8069,3
8275,3
8597,3
8622,3
,3
109,3
427,3
577,3
1869,3
2218,3
3937,3
4031,3
4033,3
4501,3
4586,3
6590,3
,3
35,3
52,3
633,3
1046,3
2083,3
2123,3
2231,3
3480,3
4172,3
4270,3
4653,3
4689,3
4800,3
4831,3
5175,3
5252,3
5750,3
7310,3
875,3
1125,3
1941,3
3654,3
3757,3
3900,3
4455,3
4623,3
4771,3
5018,3
5131,3
5831,3
6293,3
6727,3
7159,3
367,3
918,3
944,3
1032,3
1037,3
1673,3
1765,3
2126,3
2157,3
2610,3
3587,3
3640,3
4849,3
5507,3
5544,3
5818,3
6406,3
6734,3
7092,3
7707,3
8453,3
235,3
411,3
561,3
1289,3
1886,3
2593,3
2840,3
2982,3
3563,3
3843,3
4124,3
4629,3
7198,3
7734,3
8383,3
8433,3
8586,3
8864,3
,3
307,3
466,3
602,3
645,3
752,3
940,3
1021,3
1053,3
1632,3
1979,3
2141,3
3268,3
3400,3
3559,3
3842,3
3860,3
3892,3
4008,3
4637,3
5197,3
5249,3
6123,3
6876,3
6947,3
7010,3
7241,3
7400,3
7659,3
8208,3
8352,3
8454,3
8887,3
606,3
647,3
651,3
697,3
767,3
824,3
980,3
1740,3
2145,3
2379,3
2470,3
2705,3
2739,3
2925,3
3064,3
3657,3
3706,3
3819,3
4071,3
4492,3
4540,3
4804,3
4838,3
5159,3
5691,3
6272,3
6351,3
6640,3
6870,3
7174,3
7371,3
7396,3
7403,3
7686,3
7725,3
8251,3
8267,3
8468,3
8825,3
8854,3
8855,3
232,3
389,3
641,3
691,3
1054,3
1073,3
1338,3
1436,3
1507,3
1690,3
1816,3
2015,3
2050,3
2210,3
2383,3
2882,3
3011,3
3723,3
3793,3
3951,3
4184,3
4384,3
4447,3
4459,3
4872,3
5531,3
5590,3
5699,3
5794,3
7036,3
7299,3
7953,3
8236,3
8476,3
8515,3
175,3
266,3
387,3
452,3
982,3
1243,3
1274,3
1641,3
1894,3
1961,3
2117,3
2120,3
2750,3
2819,3
2877,3
2890,3
3023,3
3062,3
3093,3
3284,3
3290,3
3333,3
3415,3
3452,3
3721,3
4034,3
4371,3
4395,3
4438,3
4612,3
4907,3
5017,3
5118,3
5147,3
5510,3
5684,3
5844,3
5880,3
5971,3
6102,3
6278,3
6603,3
7049,3
7151,3
7392,3
8148,3
8520,3
8824,3
,3
284,3
295,3
333,3
433,3
479,3
507,3
786,3
1011,3
1164,3
1184,3
1194,3
1375,3
1547,3
1601,3
2165,3
2253,3
2371,3
2622,3
2671,3
3029,3
3053,3
3332,3
3334,3
3628,3
3921,3
4247,3
4523,3
4779,3
5364,3
5871,3
6109,3
6774,3
7404,3
7808,3
7835,3
8010,3
8160,3
8250,3
8370,3
8562,3
8680,3
,3
,3
,3
,3
152,3
238,3
357,3
402,3
406,3
439,3
487,3
593,3
718,3
933,3
1239,3
1250,3
1320,3
1326,3
1423,3
1551,3
1727,3
1822,3
1983,3
1987,3
2104,3
2135,3
2296,3
2306,3
2318,3
2328,3
2480,3
2512,3
2634,3
2836,3
2896,3
2945,3
3038,3
3051,3
3089,3
3098,3
3210,3
3494,3
3611,3
3692,3
3734,3
3742,3
3829,3
4012,3
4160,3
4224,3
4328,3
4331,3
4538,3
4589,2
4592,2
4683,2
4781,2
4972,1.5
5013,1.5
5038,1.5
5181,1.5
5314,1.5
5318,1.5
5324,1.5
5348,1.5
5586,1.5
5604,1.5
5644,1.5
5735,1.5
5821,1
5822,1
6063,1
6127,1
6401,1
6520,1
6805,1
7071,1
7138,1
7320,1
7322,1
7450,1
7949,1
7982,1
7985,1
8093,1
8162,1
8850,1
13,1
50,1
68,1
172,1
407,1
409,1
511,1
566,1
630,1
668,1
990,1
1007,1
1040,1
1048,1
1061,1
1152,1
1206,1
1258,1
1259,1
1469,1
1496,1
1558,1
1590,1
1603,1
1692,1
1783,1
1791,1
1903,1
1960,1
2119,1
2214,1
2248,1
2352,1
2368,1
2544,1
2567,1
2716,1
2755,1
2837,1
2874,1
2935,1
2976,1
3085,1
3158,1
3277,1
3449,1
3508,1
3532,1
3606,1
3673,1
3789,1
3805,1
3895,1
3924,1
3997,1
4035,1
4084,1
4139,1
4218,1
4276,1
4292,1
4367,1
4413,1
4443,1
4448,1
4466,1
4506,1
4581,1
4655,1
4667,1
4837,1
4845,1
4888,1
4950,1
4988,1
5103,1
5244,1
5274,1
5451,1
5477,1
5505,1
5527,1
5609,1
5630,1
5655,1
5664,1
5733,1
5782,1
5958,1
6233,1
6295,1
6421,1
6468,1
6690,1
6911,1
6923,1
6961,1
6986,1
7008,1
7028,1
7090,1
7094,1
7120,1
7324,1
7535,1
7862,1
7938,1
7959,1
8033,1
8121,1
8195,1
8442,1
8461,1
8465,1
8500,1
8519,1
8525,1
8621,1
8633,1
8678,1
8774,1
8843,1
,1
1,1
4,1
18,1
43,1
47,1
79,1
112,1
155,1
182,1
221,1
280,1
393,1
399,1
410,1
440,1
442,1
447,1
456,1
497,1
516,0.5
607,0.5
707,0.5
708,0.5
709,0.5
760,0.5
805,0.5
814,0.5
820,0.5
885,0.5
924,0.5
1019,0.5
1020,0.5
1056,0.5
1057,0.5
1083,0.5
1105,0.5
1112,0.5
1113,0.5
1128,0.5
1252,0.5
1312,0.5
1319,0.5
1384,0.5
1391,0.5
1410,0.5
1461,0.5
1471,0.5
1484,0.5
1541,0.5
1559,0.5
1597,0.5
1605,0.5
1662,0.5
1687,0.5
1694,0.5
1718,0.5
1739,0.5
1776,0.5
1797,0.5
1803,0.5
1826,0.5
1889,0.5
1909,0.5
1910,0.5
1935,0.5
1951,0.5
1990,0.5
2025,0.5
2026,0.5
2038,0.5
2081,0.5
2166,0.5
2168,0.5
2232,0.5
2255,0.5
2307,0.5
2377,0.5
2384,0.5
2409,0.5
2416,0.5
2430,0.5
2475,0.5
2494,0.5
2543,0.5
2576,0.5
2582,0.5
2603,0.5
2606,0.5
2662,0.5
2698,0.5
2699,0.5
2789,0.5
2809,0.5
2821,0.5
2920,0.5
2932,0.5
2998,0.5
3039,0.5
3052,0.5
3099,0.5
3194,0.5
3218,0.5
3251,0.5
3337,0.5
3349,0.5
3393,0.5
3430,0.5
3530,0.5
3573,0.5
3590,0.5
3796,0.5
3826,0.5
3913,0.5
3973,0.5
4005,0.5
4060,0.5
4069,0.5
4112,0.5
4114,0.5
4162,0.5
4200,0.5
4244,0.5
4275,0.5
4295,0.5
4335,0.5
4341,0.5
4355,0.5
4380,0.5
4396,0.5
4402,0.5
4416,0.5
4432,0.5
4487,0.5
4511,0.5
4622,0.5
4631,0.5
4640,0.5
4657,0.5
4692,0.5
4703,0.5
4710,0.5
4755,0.5
4765,0.5
4807,0.5
4816,0.5
4854,0.5
4925,0.5
4928,0.5
4936,0.5
4938,0.5
4989,0.5
5044,0.5
5135,0.5
5148,0.5
5174,0.5
5177,0.5
5205,0.5
5207,0.5
5283,0.5
5331,0.5
5379,0.5
5413,0.5
5466,0.5
5543,0.5
5570,0.5
5583,0.5
5606,0.5
5653,0.5
5751,0.5
5790,0.5
5825,0.5
5896,0.5
5903,0.5
5961,0.5
6042,0.5
6050,0.5
6053,0.5
6065,0.5
6106,0.5
6121,0.5
6152,0.5
6250,0.5
6279,0.5
6315,0.5
6350,0.5
6378,0.5
6443,0.5
6466,0.5
6516,0.5
6542,0.5
6566,0.5
6585,0.5
6588,0.5
6675,0.5
6728,0.5
6745,0.5
6751,0.5
6754,0.5
6791,0.5
6830,0.5
6843,0.5
6956,0.5
7032,0.5
7051,0.5
7068,0.5
7072,0.5
7110,0.5
7111,0.5
7152,0.5
7177,0.5
7263,0.5
7341,0.5
7349,0.5
7515,0.5
7516,0.5
7523,0.5
7571,0.5
7588,0.5
7670,0.5
7692,0.5
7716,0.5
7735,0.5
7807,0.5
7823,0.5
7913,0.5
7960,0.5
7999,0.5
8013,0.5
8038,0.5
8048,0.5
8058,0.5
8060,0.5
8090,0.5
8102,0.5
8163,0.5
8202,0.5
8242,0.5
8243,0.5
8274,0.5
8285,0.5
8292,0.5
8316,0.5
8341,0.5
8431,0.5
8478,0.5
8486,0.5
8510,0.5
8553,0.5
8615,0.5
8647,0.5
8664,0.5
8755,0.5
8817,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
6,0.5
11,0.5
39,0.5
55,0.5
61,0.5
73,0.5
92,0.5
97,0.5
130,0.5
142,0.5
144,0.5
147,0.5
164,0.5
169,0.5
191,0.5
192,0.5
200,0.5
218,0.5
229,0.5
230,0.5
262,0.5
286,0.5
296,0.5
298,0.5
314,0.5
331,0.5
343,0.5
361,0.5
362,0.5
365,0.5
373,0.5
394,0.5
403,0.5
405,0.5
414,0.5
429,0.5
436,0.5
448,0.5
463,0.5
474,0.5
478,0.5
481,0.5
483,0.5
498,0.5
499,0.5
518,0.5
522,0.5
531,0.5
553,0.5
569,0.5
579,0.5
588,0.5
594,0.5
604,0.5
616,0.5
620,0.5
636,0.5
639,0.5
663,0.5
677,0.5
683,0.5
690,0.5
692,0.5
712,0.5
722,0.5
724,0.5
737,0.5
741,0.5
789,0.5
830,0.5
831,0.5
847,0.5
858,0.5
862,0.5
893,0.5
894,0.5
907,0.5
932,0.5
943,0.5
996,0.5
1016,0.5
1026,0.5
1030,0.5
1060,0.5
1070,0.5
1090,0.5
1092,0.5
1095,0.5
1096,0.5
1097,0.5
1101,0.5
1127,0.5
1129,0.5
1130,0.5
1138,0.5
1142,0.5